,Message,Racism,Sexism
6,"and it is muslims who were the first crusaders , attacking the christian world for centuries before it attacked back",1,0
7,capital hill is a great example of how seldom the world attacks islam given the daily provocations .,1,0
17,you are right . the violent murdering muslims are the only ones who understand the meaning of their religion .,1,0
36,i agree . he is just like the prophet mohammed .,1,0
40,hamas was elected once and have not had elections since.they have skipped many elections . mursi was going in same direction,1,0
59,"then you are a total idiot , because muslims are killing people around the globe . they are at war with every religion on earth",1,0
61,so we bombed hitler and various dictators because they refused to be slaves ? muslims need to get a grip on reality .,1,0
65,"labor tells raped girls to go home and not bother them , the filthy animals .",1,0
66,they are always hot air . but sometimes their hot air aligns with their prophets .,1,0
79,and of course the reason the majority now live in christian lands is muslim abuse .,1,0
88,rt : the kurds clean up the isis islamofascist trash in kobane . kobane is the graveyard of isis . via http://t.co/n…,1,0
92,the stupidist arguments are the ones rationalizing the barbarity of islam .,1,0
95,rt : #isis #islam pc puzzle : converting to a religion of peace leading to violence ? http://t.co/tbjusaemuh http://t.co/g4xoh…,1,0
97,lol . you think there are no probs for people who do not tow the main stream line in muslim c . http://t.co/yzdjhnfqen,1,0
99,terrorists that have taken the church over . she was born an american and so was never subject to ...,1,0
102,in fact blumenthal is palestinian friends behead gays .,1,0
106,islamophobia - fear of this . http://t.co/ky1nqpnlyb,1,0
108,"soon they will have to ask their uneducated , moronic madrassa rats to do surgery . a butcher knife and a prayer .",1,0
115,the us attacks terrorists and dictators . your religion opposes freedom and democracy . http://t.co/eqhyqleabg,1,0
126,rt : our doctrine supports terrorism & violence http://t.co/u3imwdacc0,1,0
130,wrong jewish tribe microbrain . the jews of khybar had nothing to do with mohammed .,1,0
131,rt : mt : #turkey is now the only major ( muslim majority ) country in the middle east that is not bombing #isis,1,0
135,it will be the same evil tentacles that are already there in a different uniform .,1,0
153,the poor women do it because they marry a muslim man and are pressured into it . men do it in prison . it is a criminal is relig,1,0
157,"all muslims share an ideology that is spelled out as bigoted , sexist , imperialists , homophobic .",1,0
171,"the difference is that islam has a requirement for jihad , has over 100 large terrorist orgs . , and declared war on world",1,0
176,"rt : after liberal atheist murders three muslim students who were members of anti-semitic , muslim bro … http://t.co/pntmamdq99 vi …",1,0
182,"for example , the literary style of the quran is always very literal . little use of metaphors , etc .",1,0
210,"if quran and hadith are full of hatred and murder and if muslims support sharia , then the problem is islam and screw leftists .",1,0
216,"since 90 % of muslim civilians are killed by muslim terrorists , you avatar is just propaganda .",1,0
236,so when are you going to admit that the quran is wrong . i'm waiting .,1,0
248,"you lie again . the quran and hadith do tell you to murder "" non believers "" http://t.co/dyxie27pbn",1,0
251,debunked what ignorant one . you are debunked by this . 8 hadith say she was six . http://t.co/4oq6gyknwb,1,0
256,and i do not care if the jews do what the have to do to protect themselves from the genocidal muslims .,1,0
260,this is what christians and other non muslims have had to deal with for 1400 years in the middle east .,1,0
262,of course muslim religious bigots like you think that is okay .,1,0
270,and do not talk to me about hatred when you follow the vulgar quran and hadiths that are full of hatred .,1,0
289,"so when the subject of islam is relationship with terrorism comes up , they react like the empty morons they are .",1,0
294,and here is the list of jewish nobel laureats . they contribute about 400 times as much as muslims . muslims contribute hate .,1,0
301,the people who were killed were supporters of the muslim brotherhood . young terrorists in the making .,1,0
326,and the truth is that more muslims are walking away from islam than people are converting to it . education will now kill #islam,1,0
338,any idiot lawyer could make the case that the quran should be outlawed on the basis of being hate speech .,1,0
339,rt : same msm that insists islam has no connection w / terror censors cartoons cuz they fear being murdered . s …,1,0
341,"hey , idiot ! you ca not use the problems of judaism to justify the barbarity of the quran .",1,0
362,salon tries to shut down free speech and shut people up by playing a race card about an ideaology . #islam,1,0
364,what an incredible piece of garbage . the muslims crusaded against the christians 400 years before christian crusades .,1,0
376,read the statistics microbrain . look at the percentage of the worlds muslims that want to kill apostates .,1,0
379,rt : the logic of islam reflects clearly in those who follow its ideology and oaths to be muhammad is slave . http://t.co/ciak7e9…,1,0
384,blacks have murdered far more whites than the reverse . your one sided presentation shows you are a racist .,1,0
386,just like there was 1400 years ago . the flies are free .,1,0
394,"1/3 of the religion is ready to murder apostates . there are no "" moderate muslims "" http://t.co/rhenxnvhbo",1,0
401,"the asshole prophet mohammed who was a slave trader , pedophile , murderer , war monger , sexist , bigot , caravan robber .",1,0
402,"i read the entire quran and many of the hadiths , and murdering "" unbelievers "" and forcing islam on people is exactly what it is .",1,0
420,they just produce islamolunatics . http://t.co/qxih8bd7nv,1,0
430,following example of their prophet muslims are still commonly marrying children . no one else is .,1,0
445,"rt : after the recent rape-murder case of a female turkish student , other turkish women are telling their stories to the worl …",1,0
450,thanks for showing again that blacks are the biggest racists . blocked,1,0
454,you are pandering to a religion that declared war on all humanity 1400 years ago .,1,0
470,max blumenthal is muslim friends busy raping christian girls around the world . http://t.co/liskp9u8uq,1,0
484,it is basically an empty excuse that leftists and muslims use for their anti us bigotry .,1,0
489,rt : ️ obama swindling future generations of americans adding 9 trillion dollars to debt 💰 #wakeupamerica http://t.co…,1,0
495,that is how muslims react when the traffic light turns red .,1,0
516,and for people who are not people of the book you guarantee them death or slavery .,1,0
524,forcing others to accept the barbarity of islam is actual obligation . http://t.co/d3ib1aqwrb,1,0
534,"the question is , how hard should we work to keep the muslims from killing each other , since they seem so determined to continue . #islam",1,0
536,the jews lived on 40 % of arabian peninsula before mohammed began genocide .,1,0
541,another barbaric aspect of islam is to murder people for the way they were born .,1,0
542,"all the lies they tell and the mantras they repeat about apartheid , etc . are all scripted propaganda and not spontaneous .",1,0
550,you only have to count the corpses to see that islamic extremism is widespread.jewish not,1,0
556,the parallel between the behavior of terrorist organizations and the prophet mohammed is something i have preached for 15 year,1,0
563,the daesh are getting too thin on manpower to hold all the fronts where they need to fight . bombing does have an effect .,1,0
564,allah scewed up when he planned on kobane . now the free citizens of kobane are rebuilding . http://t.co/0wcxczfu7m,1,0
572,"nope , blumenthal ignores the countless cases of muslim violence against minorities around the world , and instead ...",1,0
575,isis has slavery because the prophet mohammed was a slave owner and trader .,1,0
576,islam is full of incitements to murder unbelievers . what are you talking about ?,1,0
580,if you do not follow what is in the sunnah you do not follow what is in the sunnah . i could care less about your indignation .,1,0
586,"your prophet was a low life murdering , raping , robbing , bigoted , sexist , pedophile .",1,0
596,he says while immersed in kufiri invented and built devices .,1,0
626,"for example , in medina mohammed said , kindly cut off the heads of these 600 jewish men and enslave their women .",1,0
629,so why does not blumenthal go and ask hamas why they never have elections .,1,0
630,1/3 of all muslims believe that people who want to leave the religion should be murdered . http://t.co/mbtflxqk22,1,0
633,seems like being a muslim and living off a steady diet of conspiracy theories go together . islam is a religion of ignorance .,1,0
648,"no the muslims murdered the jews the traditional muslim way , with swords , knives , and spears . and they did it for 1400 years .",1,0
650,"the islam is the hate , microbrain . http://t.co/pwxcgc4cht",1,0
656,"why do 2/3 of all muslims want sharia , which demands death for homosexuals and apostates ? http://t.co/1je0s98wmh",1,0
661,and most muslims are actually better behaved than their religion leads them to be .,1,0
